date,volatility,rsi,rsi_norm,macd,z_score_price,Label
2019-10-02,0.00019487328333089277,41.20448212074257,0.4120448212074257,-0.0029009782584239474,-1.981987014841889,1.0
2019-10-03,0.00017757039862475744,47.65122686593893,0.4765122686593893,-0.003919271143118408,-1.1586005867090183,1.0
2019-10-11,0.00016574203068129225,45.55692487005359,0.45556924870053594,-0.002063780918433622,-1.0378172779035353,1.0
2019-10-15,0.00017423030466283607,57.50661360012719,0.5750661360012719,0.0016582111318967918,2.10412521011773,1.0
2019-10-17,0.00018367524378087443,52.26288159536151,0.5226288159536151,0.002097359573298263,0.7725193316602446,0.0
2019-10-18,0.00021025205910569578,64.79511368304715,0.6479511368304715,0.007252332802764272,4.036789083335511,1.0
2019-10-21,0.00027178022594351303,45.66038941083781,0.4566038941083781,0.0038724293548000333,-1.3208532510466702,1.0
2019-10-22,0.00026776577985761874,50.42822375839931,0.5042822375839932,0.0006094382668919707,-1.662079259298749,1.0
2019-10-23,0.00028997718592548824,56.95240922946849,0.5695240922946849,0.0029173288808408415,1.6766753025998338,1.0
2019-10-25,0.00029861155719522123,47.25240120492488,0.4725240120492488,-0.0008618667539224134,-1.4832693551616085,1.0
2019-10-30,0.000300910561002273,53.189578795377706,0.531895787953777,0.0003946142497142091,1.0498263869588682,1.0
2019-10-31,0.00030010467136953477,54.93673893831747,0.5493673893831746,0.002311541991360855,1.4267236534170404,1.0
2019-11-01,0.0003051408859303593,47.085771144116705,0.47085771144116706,-8.105531465218974e-05,-1.2439576344971321,1.0
2019-11-05,0.0003023770708583823,47.033087598756126,0.47033087598756124,-0.0029683877983899265,-1.2043354734905545,1.0
2019-11-13,0.0003026346580247972,55.335870034722134,0.5533587003472213,0.0007016477731411896,1.1876119952099902,1.0
2019-11-18,0.0003033582335193113,53.84129733942306,0.5384129733942306,0.002393944542959048,0.9418196384737718,1.0
2019-11-20,0.0003090899205220011,49.45242044092691,0.4945242044092691,0.003081406627842398,1.1908720098564276,1.0
2019-11-21,0.0003158893971450567,51.55162596309302,0.5155162596309302,0.0011568441335185753,-0.8354638310065479,1.0
